_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
NEW_LONDON__CT	60449	41168	109147
TOLLAND__CT	33554	24705	62700
WINDHAM__CT	24023	16708	43963
KENT__DE	22790	24081	48247
NEW_CASTLE__DE	127539	78587	212995
SUSSEX__DE	29739	34620	66287
DISTRICT_OF_COLUMBIA__DC	171923	18073	201894
ALACHUA__FL	47365	34124	85729
BAKER__FL	2392	5610	8154
BAY__FL	18850	38637	58805
BRADFORD__FL	3075	5414	8673
BREVARD__FL	97318	115185	218395
BROWARD__FL	387703	177902	575143
CALHOUN__FL	2155	2873	5174
CHARLOTTE__FL	29645	35426	66896
CITRUS__FL	25525	29767	57206
CLAY__FL	14632	41736	57353
COLLIER__FL	29921	60450	92162
COLUMBIA__FL	7047	10964	18508
DESOTO__FL	3320	4256	7817
DIXIE__FL	1826	2697	4666
DUVAL__FL	107864	152098	264636
ESCAMBIA__FL	40943	73017	116648
FLAGLER__FL	13897	12613	27111
FRANKLIN__FL	2046	2454	4644
GADSDEN__FL	9735	4767	14727
GILCHRIST__FL	1910	3300	5395
GLADES__FL	1442	1841	3365
GULF__FL	2397	3550	6144
HAMILTON__FL	1722	2146	3964
HARDEE__FL	2339	3765	6233
HENDRY__FL	3240	4747	8139
HERNANDO__FL	32644	30646	65219
HIGHLANDS__FL	14167	20206	35149
HILLSBOROUGH__FL	169557	180760	360295
HOLMES__FL	2177	5011	7395
INDIAN_RIVER__FL	19768	28635	49622
JACKSON__FL	6868	9138	16300
JEFFERSON__FL	3041	2478	5644
LAFAYETTE__FL	789	1670	2505
LAKE__FL	36571	50010	88611
LEE__FL	73560	106141	184377
LEON__FL	61427	39062	103124
LEVY__FL	5398	6858	12724
LIBERTY__FL	1017	1317	2410
MADISON__FL	3014	3038	6162
MANATEE__FL	49177	57952	110221
MARION__FL	44665	55141	102956
MARTIN__FL	26620	33970	62013
MIAMI_DADE__FL	328808	289533	625449
MONROE__FL	16483	16059	33896
NASSAU__FL	6952	16404	23780
OKALOOSA__FL	16948	52093	70680
OKEECHOBEE__FL	4588	5057	9853
ORANGE__FL	140220	134517	280125
OSCEOLA__FL	28181	26212	55659
PALM_BEACH__FL	269732	152951	433186
PASCO__FL	69564	68582	142731
PINELLAS__FL	200630	184825	398472
POLK__FL	75200	90295	168607
PUTNAM__FL	12102	13447	26222
ST__JOHNS__FL	19502	39546	60746
ST__LUCIE__FL	41559	34705	77989
SANTA_ROSA__FL	12802	36274	50319
SARASOTA__FL	72853	83100	160942
SEMINOLE__FL	59174	75677	137634
SUMTER__FL	9637	12127	22261
SUWANNEE__FL	4075	8006	12473
TAYLOR__FL	2649	4056	6808
UNION__FL	1407	2332	3826
VOLUSIA__FL	97304	82357	183654
WAKULLA__FL	3838	4512	8587
WALTON__FL	5642	12182	18318
WASHINGTON__FL	2798	4994	8029
APPLING__GA	2093	3940	6099
ATKINSON__GA	821	1228	2071
BACON__GA	956	2010	2995
BAKER__GA	893	615	1519
BALDWIN__GA	5893	6041	12126
BANKS__GA	1220	3202	4533
BARROW__GA	3657	7925	12102
BARTOW__GA	7508	14720	22781
BEN_HILL__GA	2234	2381	4661
BERRIEN__GA	1640	2718	4410
BIBB__GA	24996	24071	49776
BLECKLEY__GA	1273	2436	3749
BRANTLEY__GA	1372	3118	4566
BROOKS__GA	2096	2406	4551
BRYAN__GA	2172	4835	7059
BULLOCH__GA	5561	8990	14782
BURKE__GA	3720	3381	7135
BUTTS__GA	2281	3198	5635
CALHOUN__GA	1107	768	1887
CAMDEN__GA	3636	6371	10119
CANDLER__GA	1053	1643	2722
CARROLL__GA	8752	16326	25741
CATOOSA__GA	5470	12033	17721
CHARLTON__GA	1015	1770	2816
CHATHAM__GA	37590	37847	76475
CHATTAHOOCHEE__GA	600	590	1207
CHATTOOGA__GA	2729	3640	6477
CHEROKEE__GA	12295	38033	52348
CLARKE__GA	15167	11850	28904
CLAY__GA	821	448	1277
CLAYTON__GA	40042	19966	61402
CLINCH__GA	816	1091	1929
COBB__GA	86676	140494	235027
COFFEE__GA	3593	5756	9430
COLQUITT__GA	3297	6589	9972
COLUMBIA__GA	8969	26660	36008
