_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Shelby__TX	2068	7975	10087
Sherman__TX	91	886	992
Smith__TX	29615	69080	100334
Somervell__TX	768	4105	4947
Starr__TX	9123	8247	17525
Stephens__TX	397	3385	3805
Sterling__TX	51	584	639
Stonewall__TX	116	615	736
Sutton__TX	322	1222	1557
Swisher__TX	478	1845	2355
Tarrant__TX	411567	409741	834697
Taylor__TX	14588	39547	55135
Terrell__TX	119	334	458
Terry__TX	757	2812	3612
Throckmorton__TX	82	806	894
Titus__TX	2856	7570	10541
Tom_Green__TX	12239	32313	45210
Travis__TX	435860	161337	610349
Trinity__TX	1323	5579	6938
Tyler__TX	1403	8194	9660
Upshur__TX	2877	15809	18919
Upton__TX	170	1178	1368
Uvalde__TX	4073	6174	10344
Val_Verde__TX	6771	8284	15280
Van_Zandt__TX	3516	22270	26029
Victoria__TX	10380	23358	34226
Walker__TX	7884	15375	23612
Waller__TX	8191	14260	22734
Ward__TX	764	3241	4060
Washington__TX	4261	12959	17449
Webb__TX	41820	25898	68506
Wharton__TX	4694	11926	16761
Wheeler__TX	168	2159	2337
Wichita__TX	13161	32069	46040
Wilbarger__TX	956	3524	4524
Willacy__TX	3108	2441	5549
Williamson__TX	143795	139729	290168
Wilson__TX	6350	18463	25032
Winkler__TX	358	1753	2126
Wise__TX	4973	27032	32365
Wood__TX	3509	19049	22779
Yoakum__TX	420	2174	2631
Young__TX	1034	7110	8239
Zapata__TX	1826	2033	3874
Zavala__TX	2864	1490	4379
Appling__GA	1784	6570	8390
Atkinson__GA	825	2300	3155
Bacon__GA	625	4017	4667
Baker__GA	652	897	1555
Baldwin__GA	9140	8903	18261
Banks__GA	932	7795	8805
Barrow__GA	10453	26804	37946
Bartow__GA	12091	37672	50486
Ben_Hill__GA	2393	4111	6564
Berrien__GA	1269	6419	7744
Bibb__GA	43408	26559	70763
Bleckley__GA	1312	4329	5710
Brantley__GA	700	6993	7749
Brooks__GA	2791	4261	7101
Bryan__GA	6738	14240	21349
Bulloch__GA	11248	18387	30109
Burke__GA	5208	5400	10685
Butts__GA	3274	8406	11776
Calhoun__GA	1263	923	2198
Camden__GA	7967	15249	23698
Candler__GA	1269	3133	4431
Carroll__GA	16236	37476	54502
Catoosa__GA	6932	25167	32626
Charlton__GA	1105	3419	4568
Chatham__GA	78247	53232	133484
Chattahoochee__GA	667	880	1582
Chattooga__GA	1854	8064	10053
Cherokee__GA	42779	99585	144859
Clarke__GA	36055	14450	51421
Clay__GA	791	637	1436
Clayton__GA	95466	15811	112391
Clinch__GA	744	2105	2862
Cobb__GA	221847	165436	394022
Coffee__GA	4511	10578	15214
Colquitt__GA	4190	11777	16087
Columbia__GA	29232	50013	80620
Cook__GA	2059	4900	7037
Coweta__GA	24210	51501	76845
Crawford__GA	1615	4428	6102
Crisp__GA	2982	4985	8036
Dade__GA	1261	6066	7447
Dawson__GA	2486	13398	16084
Decatur__GA	4782	6755	11628
DeKalb__GA	308162	58377	370877
Dodge__GA	2172	5843	8072
Dooly__GA	1911	2159	4106
Dougherty__GA	24568	10441	35290
Douglas__GA	42814	25454	69139
Early__GA	2450	2710	5188
Echols__GA	167	1256	1442
Effingham__GA	7718	23361	31579
Elbert__GA	2879	6226	9176
Emanuel__GA	2886	6553	9507
Evans__GA	1324	2888	4248
Fannin__GA	2570	12169	14849
Fayette__GA	33062	37956	72012
Floyd__GA	11917	28906	41365
Forsyth__GA	42208	85123	129377
Franklin__GA	1593	9069	10767
Fulton__GA	380212	137247	523931
Gilmer__GA	2932	13429	16527
Glascock__GA	155	1402	1565
Glynn__GA	15882	25617	41994
Gordon__GA	4384	19405	24044
Grady__GA	3619	7034	10707
Greene__GA	4087	7066	11247
Gwinnett__GA	241994	166400	414350
Habersham__GA	3562	16637	20442
Hall__GA	25033	64183	90602
Hancock__GA	2976	1154	4153
Haralson__GA	1791	12330	14248
Harris__GA	5457	14319	20002
Hart__GA	3157	9465	12734
Heard__GA	824	4519	5394
Henry__GA	73443	48259	123016
Houston__GA	32239	41540	74872
Irwin__GA	1008	3134	4168
Jackson__GA	7642	29502	37685
Jasper__GA	1761	5822	7647
Jeff_Davis__GA	1028	4695	5774
Jefferson__GA	4058	3537	7639
Jenkins__GA	1266	2161	3455
Johnson__GA	1222	2850	4100
Jones__GA	4882	9940	14940
Lamar__GA	2620	6331	9045
Lanier__GA	1019	2509	3576
Laurens__GA	8074	14493	22732
Lee__GA	4558	12007	16719
Liberty__GA	13104	7959	21394
Lincoln__GA	1432	3173	4641
Long__GA	2035	3527	5660
Lowndes__GA	20116	25692	46375
Lumpkin__GA	3126	12163	15545
Macon__GA	2858	1783	4663
Madison__GA	3411	11326	14945
Marion__GA	1312	2275	3626
McDuffie__GA	4168	6169	10456
McIntosh__GA	2612	4016	6696
Meriwether__GA	4287	6524	10880
Miller__GA	748	2066	2834
Mitchell__GA	3993	4935	8963
Monroe__GA	4385	11057	15592
Montgomery__GA	980	2960	3968
Morgan__GA	3353	8231	11710
Murray__GA	2301	12944	15395
Muscogee__GA	49446	30107	80528
Newton__GA	29789	23869	54263
Oconee__GA	8162	16595	25193
Oglethorpe__GA	2439	5592	8138
Paulding__GA	29695	54517	85417
Peach__GA	5922	6506	12554
Pickens__GA	2824	14110	17172
Pierce__GA	1100	7898	9048
Pike__GA	1505	9127	10721
Polk__GA	3657	13587	17399
Pulaski__GA	1230	2815	4081
Putnam__GA	3448	8291	11857
Quitman__GA	497	604	1106
Rabun__GA	1984	7474	9574
Randolph__GA	1671	1390	3073
Richmond__GA	59119	26780	87077
Rockdale__GA	31237	13014	44699
Schley__GA	462	1800	2275
