_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Middlesex__NJ	226250	143467	375692
Monmouth__NJ	181291	191808	378390
Morris__NJ	153881	141134	300917
Ocean__NJ	119456	217740	342746
Passaic__NJ	129097	92009	224330
Salem__NJ	14479	18827	34042
Somerset__NJ	111173	71996	186891
Sussex__NJ	34481	51698	88352
Union__NJ	170245	80002	254041
Warren__NJ	24901	34769	61057
Adams__CO	134202	95657	236740
Alamosa__CO	3759	3813	7808
Arapahoe__CO	213607	127323	350183
Archuleta__CO	3738	5189	9144
Baca__CO	317	1867	2225
Bent__CO	732	1503	2274
Boulder__CO	159089	42501	206111
Broomfield__CO	29077	16295	46632
Chaffee__CO	7160	6222	13718
Cheyenne__CO	131	993	1136
Clear_Creek__CO	3604	2754	6548
Conejos__CO	1959	2286	4333
Costilla__CO	1311	741	2094
Crowley__CO	437	1271	1750
Custer__CO	1112	2474	3635
Delta__CO	5887	13081	19370
Denver__CO	313293	71618	393829
Dolores__CO	341	1089	1449
Douglas__CO	104653	121270	231605
Eagle__CO	18588	9892	29140
El_Paso__CO	161941	202828	378851
Elbert__CO	4490	14027	18983
Fremont__CO	7369	17517	25557
Garfield__CO	15427	14717	30904
Gilpin__CO	2223	1833	4186
Grand__CO	4710	4883	9870
Gunnison__CO	7132	3735	11190
Hinsdale__CO	255	353	632
Huerfano__CO	2076	2203	4406
Jackson__CO	175	681	876
Jefferson__CO	218396	148417	377358
Kiowa__CO	98	795	903
Kit_Carson__CO	662	3144	3871
La_Plata__CO	20548	14233	35667
Lake__CO	2303	1497	3961
Larimer__CO	126120	91489	224338
Las_Animas__CO	3497	4284	7961
Lincoln__CO	470	2135	2651
Logan__CO	2218	8087	10532
Mesa__CO	31536	56894	90623
Mineral__CO	317	427	756
Moffat__CO	1203	5670	7026
Montezuma__CO	5836	9306	15500
Montrose__CO	7687	16770	24922
Morgan__CO	3876	9593	13744
Otero__CO	3605	5756	9576
Ouray__CO	2365	1577	4020
Park__CO	4903	6991	12291
Phillips__CO	486	1958	2485
Pitkin__CO	8989	2780	11957
Prowers__CO	1458	4008	5561
Pueblo__CO	43772	42252	88301
Rio_Blanco__CO	561	3061	3691
Rio_Grande__CO	2495	3660	6305
Routt__CO	10582	5925	16876
Saguache__CO	1884	1413	3389
San_Juan__CO	342	202	562
San_Miguel__CO	3924	1136	5147
Sedgwick__CO	301	1121	1446
Summit__CO	12631	5322	18479
Teller__CO	5278	11241	16939
Washington__CO	369	2595	3008
Weld__CO	66060	96145	166974
Yuma__CO	785	4107	4981
Bernalillo__NM	193757	116135	317590
Catron__NM	595	1698	2326
Chaves__NM	6381	15656	22443
Cibola__NM	4745	3975	8903
Colfax__NM	2611	3271	6016
Curry__NM	4307	10444	15101
De_Baca__NM	231	656	901
Dona_Ana__NM	47957	32802	82641
Eddy__NM	5424	17454	23222
Grant__NM	7590	6553	14435
Guadalupe__NM	1234	917	2189
Harding__NM	179	319	505
Hidalgo__NM	823	1120	1974
Lea__NM	4061	16531	20918
Lincoln__NM	3194	6942	10306
Los_Alamos__NM	7554	4278	12293
Luna__NM	3563	4408	8103
McKinley__NM	18029	7801	26486
Mora__NM	1745	903	2686
Otero__NM	8485	14521	23571
Quay__NM	1170	2634	3873
Rio_Arriba__NM	10990	5408	16628
Roosevelt__NM	1802	4634	6608
Sandoval__NM	40588	34174	76562
San_Juan__NM	18083	32874	52294
San_Miguel__NM	7888	3421	11531
Santa_Fe__NM	62530	18329	82227
Sierra__NM	2265	3542	5945
Socorro__NM	3722	3255	7160
Taos__NM	13121	3715	17181
Torrance__NM	2344	4772	7281
Union__NM	383	1388	1789
Valencia__NM	14263	17364	32277
Androscoggin__ME	27617	29268	59361
Aroostook__ME	13956	21080	36210
Cumberland__ME	128759	59584	195914
Franklin__ME	8069	8754	17599
Hancock__ME	19369	14982	35676
Kennebec__ME	34902	34721	72615
Knox__ME	14695	9442	26032
Lincoln__ME	12684	10256	23857
Oxford__ME	14743	17698	33810
Penobscot__ME	37725	44845	86133
Piscataquis__ME	3517	6143	9996
Sagadahoc__ME	13528	9755	24280
Somerset__ME	10199	16644	27873
Waldo__ME	12345	11196	24566
Washington__ME	6761	10194	17570
York__ME	71189	54817	131042
Belknap__NH	16894	20899	38479
Carroll__NH	16649	16150	33297
Cheshire__NH	25522	17898	44370
Coos__NH	7640	8617	16544
Grafton__NH	33180	19905	54132
Hillsborough__NH	122344	104625	231659
Merrimack__NH	48533	39711	90133
Rockingham__NH	100064	95858	199342
Strafford__NH	41721	30489	73805
Sullivan__NH	12390	11508	24444
Aitkin__MN	3607	6258	10025
Anoka__MN	100893	104902	211132
Becker__MN	6589	12438	19401
Beltrami__MN	11426	12188	24189
Benton__MN	7280	14382	22260
Big_Stone__MN	1053	1863	2974
Blue_Earth__MN	18330	16731	36051
Brown__MN	4753	9552	14635
Carlton__MN	10098	9791	20369
Carver__MN	30774	34009	66361
Cass__MN	6342	11620	18289
Chippewa__MN	2226	4250	6611
Chisago__MN	11806	21916	34570
Clay__MN	16357	15043	32239
Clearwater__MN	1260	3372	4708
Cook__MN	2496	1203	3806
Cottonwood__MN	1834	4165	6107
Crow_Wing__MN	13726	25676	40173
Dakota__MN	146155	109638	262259
Dodge__MN	4079	7783	12187
Douglas__MN	7868	15799	24165
Faribault__MN	2531	5191	7914
Fillmore__MN	4551	7301	12141
Freeborn__MN	6889	9578	16818
Goodhue__MN	11806	16052	28636
Grant__MN	1300	2269	3654
Hennepin__MN	532623	205973	755969
Houston__MN	4853	6334	11440
Hubbard__MN	4462	8202	12965
Isanti__MN	7138	16491	24235
Itasca__MN	10786	15239	26561
Jackson__MN	1745	3948	5819
Kanabec__MN	2774	6278	9242
Kandiyohi__MN	8440	14437	23367
Kittson__MN	1006	1546	2639
Koochiching__MN	2659	4131	6922
Lac_qui_Parle__MN	1446	2528	4040
Lake__MN	3647	3393	7202
Lake_of_the_Woods__MN	671	1704	2408
Le_Sueur__MN	5672	10775	16818
Lincoln__MN	937	2121	3115
Lyon__MN	4634	7979	12893
Mahnomen__MN	1112	1142	2304
Marshall__MN	1295	3721	5113
Martin__MN	3305	7480	11009
McLeod__MN	6413	13986	20933
Meeker__MN	3867	9359	13529
Mille_Lacs__MN	4404	9952	14689
Morrison__MN	4367	14821	19558
Mower__MN	8899	10025	19345
Murray__MN	1449	3363	4896
Nicollet__MN	9622	9018	19125
Nobles__MN	2933	5600	8715
Norman__MN	1404	1953	3441
Olmsted__MN	49491	39692	91385
Otter_Tail__MN	11958	23800	36399
Pennington__MN	2568	4532	7277
Pine__MN	5419	10256	16001
Pipestone__MN	1306	3553	4940
Polk__MN	5439	9865	15594
Pope__MN	2477	4417	7022
Ramsey__MN	211620	77376	295977
Red_Lake__MN	691	1454	2196
Redwood__MN	2355	5771	8284
Renville__MN	2496	5467	8128
Rice__MN	17402	17464	35686
Rock__MN	1556	3583	5240
Roseau__MN	2188	6065	8421
Scott__MN	40040	45872	87965
Sherburne__MN	18065	36222	55612
Sibley__MN	2417	5864	8452
St__Louis__MN	67704	49017	119531
Stearns__MN	31879	50959	84835
Steele__MN	7917	12656	21128
Stevens__MN	1922	3044	5085
Swift__MN	1784	3316	5193
Todd__MN	3286	9753	13257
Traverse__MN	661	1172	1864
Wabasha__MN	4696	8153	13123
Wadena__MN	2023	5520	7677
Waseca__MN	3496	6624	10389
Washington__MN	89165	73764	166786
Watonwan__MN	1987	3103	5201
Wilkin__MN	1026	2328	3430
Winona__MN	13333	13227	27173
Wright__MN	28430	51973	82426
Yellow_Medicine__MN	1688	3734	5528
Alcona__MI	2142	4848	7064
Alger__MI	2053	3014	5135
Allegan__MI	24449	41392	67195
Alpena__MI	6000	10686	16987
Antrim__MI	5960	9748	15972
Arenac__MI	2774	5928	8839
Baraga__MI	1478	2512	4047
Barry__MI	11797	23471	35961
Bay__MI	26151	33125	60333
Benzie__MI	5480	6601	12262
Berrien__MI	37438	43519	82565
Branch__MI	6159	14064	20573
Calhoun__MI	28877	36221	66281
Cass__MI	9130	16699	26242
Charlevoix__MI	6939	9841	17030
Cheboygan__MI	5437	10186	15890
Chippewa__MI	6648	10681	17671
Clare__MI	5199	10861	16295
Clinton__MI	21968	25098	47927
Crawford__MI	2672	5087	7861
Delta__MI	7606	13207	21167
Dickinson__MI	4744	9617	14615
Eaton__MI	31299	31798	64327
Emmet__MI	9662	12135	22209
Genesee__MI	119390	98714	221764
Gladwin__MI	4524	9893	14615
Gogebic__MI	3570	4600	8276
Grand_Traverse__MI	28683	30502	60353
Gratiot__MI	6693	12102	19148
Hillsdale__MI	5883	17037	23302
Houghton__MI	7750	10378	18533
Huron__MI	5490	12731	18442
Ingham__MI	94212	47639	144550
Ionia__MI	10901	20657	32209
Iosco__MI	5373	9759	15387
Iron__MI	2493	4216	6795
Isabella__MI	14072	14815	29476
Jackson__MI	31995	47372	81014
Kalamazoo__MI	83686	56823	143746
Kalkaska__MI	3002	7436	10631
Kent__MI	187915	165741	362031
Keweenaw__MI	672	862	1557
Lake__MI	2288	3946	6332
Lapeer__MI	16367	35482	52732
Leelanau__MI	8795	7916	16900
Lenawee__MI	20918	31541	53452
Livingston__MI	48220	76982	127197
Luce__MI	842	2109	3007
Mackinac__MI	2632	4304	7025
Macomb__MI	223952	263863	494256
Manistee__MI	6107	8321	14679
Marquette__MI	20465	16286	37550
Mason__MI	6802	10207	17283
Mecosta__MI	7375	13267	21081
Menominee__MI	4316	8117	12621
Midland__MI	20493	27675	49175
Missaukee__MI	1967	6648	8755
Monroe__MI	32980	52722	87299
Montcalm__MI	9703	21815	32138
Montmorency__MI	1628	4171	5863
Muskegon__MI	45643	45133	92444
Newaygo__MI	7873	18857	27197
Oakland__MI	434148	325971	771991
Oceana__MI	4944	8892	14080
Ogemaw__MI	3475	8253	11921
Ontonagon__MI	1391	2358	3810
Osceola__MI	3214	8928	12340
Oscoda__MI	1342	3466	4880
Otsego__MI	4743	9779	14775
Ottawa__MI	64705	100913	168713
Presque_Isle__MI	2911	5342	8355
Roscommon__MI	5166	9670	15034
Saginaw__MI	51088	50785	103483
Sanilac__MI	5966	16194	22446
Schoolcraft__MI	1589	3090	4745
Shiawassee__MI	15347	23149	39301
St__Clair__MI	31363	59185	92202
St__Joseph__MI	9262	18127	27981
Tuscola__MI	8712	20297	29479
Van_Buren__MI	16803	21591	39146
Washtenaw__MI	157136	56241	216931
Wayne__MI	597170	264553	874018
Wexford__MI	5838	12102	18292
Carson__NV	12735	16113	29739
Churchill__NV	3051	9372	12890
Clark__NV	521852	430930	972510
Douglas__NV	11571	21630	34125
Elko__NV	4557	16741	21967
Esmeralda__NV	74	400	487
Eureka__NV	105	895	1017
Humboldt__NV	1689	5877	7771
Lander__NV	496	2198	2765
Lincoln__NV	330	2067	2446
Lyon__NV	8473	20914	30238
Mineral__NV	829	1423	2335
Nye__NV	7288	17528	25378
Pershing__NV	547	1731	2320
Storey__NV	902	1908	2877
Washoe__NV	128128	116760	252142
White_Pine__NV	859	3403	4369
Adams__PA	18207	37523	56540
Allegheny__PA	429065	282324	719733
Armstrong__PA	8457	27489	36370
Beaver__PA	38122	54759	94122
Bedford__PA	4367	23025	27574
Berks__PA	92895	109736	205540
Blair__PA	17636	45306	63595
Bradford__PA	8046	21600	30159
Bucks__PA	204712	187367	396234
Butler__PA	37508	74359	113305
Cambria__PA	21730	48085	70574
Cameron__PA	634	1771	2434
Carbon__PA	11212	21984	33629
Centre__PA	40055	36372	77493
Chester__PA	182372	128565	314502
Clarion__PA	4678	14578	19493
Clearfield__PA	9673	29203	39422
Clinton__PA	5502	11902	17625
Columbia__PA	10532	20098	31171
Crawford__PA	12924	28559	42004
Cumberland__PA	62245	77212	141595
Dauphin__PA	78983	66408	147368
Delaware__PA	206423	118532	327931
Elk__PA	4522	12140	16906
Erie__PA	68286	66869	137083
Fayette__PA	20444	41227	62139
Forest__PA	728	1882	2646
Franklin__PA	22422	57245	80783
Fulton__PA	1085	6824	7977
Greene__PA	4911	12579	17669
Huntingdon__PA	5445	17061	22792
Indiana__PA	12634	28089	41198
Jefferson__PA	4527	17960	22824
Juniata__PA	2253	9649	12043
Lackawanna__PA	61991	52334	115410
Lancaster__PA	115847	160209	280239
Lawrence__PA	15978	29597	46076
Lebanon__PA	23932	46731	71652
Lehigh__PA	98288	84259	184713
Luzerne__PA	64873	86929	153321
Lycoming__PA	16971	41462	59254
McKean__PA	5098	14083	19466
Mercer__PA	21067	36143	57954
Mifflin__PA	4603	16670	21502
Monroe__PA	44060	38726	83829
Montgomery__PA	319511	185460	510157
Montour__PA	3771	5844	9771
Northampton__PA	85087	83854	170942
Northumberland__PA	12677	28952	42283
Perry__PA	5950	18293	24652
Philadelphia__PA	603790	132740	741377
Pike__PA	13019	19213	32554
Potter__PA	1726	7239	9064
Schuylkill__PA	20727	48871	70603
Snyder__PA	4910	13983	19140
Somerset__PA	8654	31466	40543
Sullivan__PA	921	2619	3595
Susquehanna__PA	6236	15207	21752
Tioga__PA	4955	15742	21075
Union__PA	7475	12356	20115
Venango__PA	7585	18569	26528
Warren__PA	6066	14237	20650
Washington__PA	45088	72080	118478
Wayne__PA	9191	18637	28089
Westmoreland__PA	72129	130218	204697
Wyoming__PA	4704	9936	14858
York__PA	88114	146733	238471
Adams__WI	4329	7362	11818
Ashland__WI	4801	3841	8757
Barron__WI	9194	15803	25346
Bayfield__WI	6147	4617	10880
Brown__WI	65511	75871	144017
Buffalo__WI	2860	4834	7816
Burnett__WI	3569	6462	10141
Calumet__WI	12116	18156	30774
Chippewa__WI	13983	21317	35938
Clark__WI	4524	10002	14898
Columbia__WI	16410	16927	33869
Crawford__WI	3953	4620	8695
Dane__WI	260185	78800	344791
Dodge__WI	16356	31355	48436
Door__WI	10044	9752	20117
Douglas__WI	13218	10923	24677
Dunn__WI	9897	13173	23524
Eau_Claire__WI	31620	25341	58275
Florence__WI	781	2133	2940
Fond_du_Lac__WI	20588	35754	57251
Forest__WI	1721	3285	5053
Grant__WI	10998	14142	25608
Green__WI	10851	10169	21406
Green_Lake__WI	3344	7168	10671
Iowa__WI	7828	5909	13992
Iron__WI	1533	2438	4010
Jackson__WI	4256	5791	10184
Jefferson__WI	19904	27208	47979
Juneau__WI	4746	8749	13709
Kenosha__WI	42193	44972	88738
Kewaunee__WI	3976	7927	12095
La_Crosse__WI	37846	28684	67884
Lafayette__WI	3647	4821	8555
Langlade__WI	3704	7330	11165
Lincoln__WI	6261	10017	16497
Manitowoc__WI	16818	27218	44829
Marathon__WI	30808	44624	76751
Marinette__WI	7366	15304	22979
Marquette__WI	3239	5719	9065
Menominee__WI	1303	278	1590
Milwaukee__WI	317270	134357	458971
Monroe__WI	8433	13775	22611
Oconto__WI	6715	16226	23215
Oneida__WI	10105	13671	24159
Outagamie__WI	47667	58385	108022
Ozaukee__WI	26517	33912	61486
Pepin__WI	1489	2584	4144
Pierce__WI	9796	12815	23317
Polk__WI	9370	16611	26371
Portage__WI	20428	19299	40603
Price__WI	3032	5394	8546
Racine__WI	50159	54479	106451
Richland__WI	3995	4871	9014
Rock__WI	46658	37138	85360
Rusk__WI	2517	5257	7886
Sauk__WI	18108	17493	36203
Sawyer__WI	4498	5909	10510
Shawano__WI	7131	15173	22615
Sheboygan__WI	27101	37609	66011
St__Croix__WI	23190	32199	56707
Taylor__WI	2693	7657	10686
Trempealeau__WI	6285	8833	15380
Vernon__WI	7457	8218	15923
Vilas__WI	5903	9261	15369
Walworth__WI	22789	33851	57600
Washburn__WI	3867	6334	10378
Washington__WI	26650	60237	88070
Waukesha__WI	103906	159649	267996
Waupaca__WI	9703	18952	29130
Waushara__WI	4388	9016	13568
Winnebago__WI	44060	47796	94032
Wood__WI	16365	24308	41298
Alachua__FL	89704	50972	143047
Baker__FL	2037	11911	14082
Bay__FL	25614	66097	93213
Bradford__FL	3160	10334	13650
Brevard__FL	148549	207883	361653
Broward__FL	618752	333409	959640
Calhoun__FL	1209	5274	6537
Charlotte__FL	42273	73243	116558
Citrus__FL	27092	65352	93388
Clay__FL	38317	84480	124660
Collier__FL	77621	128950	208285
Columbia__FL	8914	23836	33092
DeSoto__FL	4259	8313	12676
Dixie__FL	1365	6759	8173
Duval__FL	252556	233762	494161
Escambia__FL	70929	96674	170856
Flagler__FL	28161	43043	71863
Franklin__FL	2120	4675	6859
Gadsden__FL	16153	7465	23762
Gilchrist__FL	1700	7895	9702
Glades__FL	1385	3782	5203
Gulf__FL	1985	6113	8172
Hamilton__FL	1963	3815	5840
Hardee__FL	2298	6122	8502
Hendry__FL	4929	7906	12956
Hernando__FL	37519	70412	109150
Highlands__FL	16938	34873	52243
Hillsborough__FL	376367	327398	714068
Holmes__FL	924	8080	9078
Indian_River__FL	37844	58872	97740
Jackson__FL	6766	15488	22456
Jefferson__FL	3897	4479	8468
Lafayette__FL	510	3128	3662
Lake__FL	83505	125859	211314
Lee__FL	157695	233247	394758
Leon__FL	103517	57453	163476
Levy__FL	6205	16749	23185
Liberty__FL	694	2846	3565
Madison__FL	3747	5576	9393
Manatee__FL	90166	124987	217472
Marion__FL	74858	127826	204716
Martin__FL	36893	61168	98942
Miami_Dade__FL	617864	532833	1158918
Monroe__FL	21881	25693	48135
Nassau__FL	15564	42566	58915
Okaloosa__FL	34248	79798	116743
Okeechobee__FL	4390	11470	15984
Orange__FL	395014	245398	649157
Osceola__FL	97297	73480	172784
Palm_Beach__FL	433572	334711	774597
Pasco__FL	119073	179621	302621
Pinellas__FL	277450	276209	561161
Polk__FL	145049	194586	344026
Putnam__FL	10527	25514	36422
Santa_Rosa__FL	27612	77385	107198
Sarasota__FL	120110	148370	271169
Seminole__FL	132528	125241	261533
St__Johns__FL	63850	110946	177047
St__Lucie__FL	84137	86831	172349
Sumter__FL	29341	62761	92624
Suwannee__FL	4485	16410	21083
Taylor__FL	2299	7751	10138
Union__FL	1053	5133	6251
Volusia__FL	130575	173821	308109
Wakulla__FL	5351	12874	18448
Walton__FL	10338	32947	43795
Washington__FL	2347	9876	12335
Adams__OH	2156	9870	12145
Allen__OH	14149	33116	48099
Ashland__OH	6541	19407	26405
Ashtabula__OH	16497	26890	44237
Athens__OH	14772	10862	26120
Auglaize__OH	4651	20798	25822
Belmont__OH	9138	23560	33141
Brown__OH	4380	16480	21139
Butler__OH	69613	114392	186737
Carroll__OH	3251	10745	14233
Champaign__OH	5062	14589	20003
Clark__OH	24076	39032	64351
Clermont__OH	34092	74570	110710
Clinton__OH	4697	15488	20563
Columbiana__OH	13359	35726	49960
Coshocton__OH	4125	12325	16768
Crawford__OH	4916	15436	20713
Cuyahoga__OH	416176	202699	627160
Darke__OH	4731	22004	27161
Defiance__OH	5981	13038	19381
Delaware__OH	57735	66356	126374
Erie__OH	17493	22160	40416
Fairfield__OH	31224	50797	83311
Fayette__OH	2975	9473	12626
Franklin__OH	409144	211237	632532
Fulton__OH	6664	15731	22806
Gallia__OH	2990	10645	13799
Geauga__OH	21201	34143	56021
Greene__OH	34798	52072	88643
Guernsey__OH	4577	13407	18264
Hamilton__OH	246266	177886	430929
Hancock__OH	11757	26310	38771
Hardin__OH	3062	9949	13247
Harrison__OH	1768	5792	7663
Henry__OH	4062	10479	14788
Highland__OH	3799	15678	19676
Hocking__OH	3880	9737	13855
Holmes__OH	1994	10796	12978
Huron__OH	7759	18956	27190
Jackson__OH	3311	11309	14810
Jefferson__OH	10018	22828	33421
Knox__OH	8589	22340	31459
Lake__OH	55514	73278	130782
Lawrence__OH	7489	20306	28179
Licking__OH	33055	59514	94396
Logan__OH	5055	17964	23409
Lorain__OH	75667	79520	157768
Lucas__OH	115411	81763	201107
Madison__OH	5698	13835	19887
Mahoning__OH	57641	59903	119190
Marion__OH	8269	19023	27871
Medina__OH	39800	64598	106041
Meigs__OH	2492	8316	10967
Mercer__OH	4030	19452	23784
Miami__OH	15663	41371	58077
Monroe__OH	1605	5463	7159
Montgomery__OH	135064	129034	269164
Morgan__OH	1725	5041	6856
Morrow__OH	4048	14077	18468
Muskingum__OH	11971	27867	40467
Noble__OH	1170	5135	6348
Ottawa__OH	9008	14628	24046
Paulding__OH	2213	7086	9484
Perry__OH	4098	12357	16676
Pickaway__OH	7304	20593	28314
Pike__OH	3110	9157	12424
Portage__OH	35661	45990	83022
Preble__OH	4493	17022	21840
Putnam__OH	3195	16412	19947
Richland__OH	17640	41472	59975
Ross__OH	10557	22278	33365
Sandusky__OH	10596	18896	30128
Scioto__OH	9080	22609	32051
Seneca__OH	8266	17086	25848
Shelby__OH	4465	20422	25293
Stark__OH	75904	111097	190093
Summit__OH	151668	124833	281280
Trumbull__OH	44519	55194	101152
Tuscarawas__OH	12889	30458	44087
Union__OH	11141	21669	33535
Van_Wert__OH	3067	11650	14994
Vinton__OH	1331	4632	6038
Warren__OH	46069	87988	136441
Washington__OH	9243	22307	32081
Wayne__OH	16660	36759	54283
Williams__OH	4842	13452	18651
Wood__OH	30617	35757	67600
Wyandot__OH	2733	8462	11403
Abbeville__SC	4101	8215	12433
Aiken__SC	32275	51589	85185
Allendale__SC	2718	835	3593
Anderson__SC	27169	67565	96093
Bamberg__SC	4010	2417	6482
Barnwell__SC	4720	5492	10321
Beaufort__SC	43419	53194	97835
Berkeley__SC	45223	57397	104458
Calhoun__SC	3905	4305	8291
Charleston__SC	121485	93297	218857
Cherokee__SC	6983	18043	25270
Chester__SC	6941	8660	15757
Chesterfield__SC	7431	11297	18876
Clarendon__SC	8250	8361	16733
Colleton__SC	8602	10440	19283
Darlington__SC	15220	16832	32417
Dillon__SC	6436	6582	13101
Dorchester__SC	33824	41913	77278
Edgefield__SC	4953	8184	13304
Fairfield__SC	7382	4625	12136
Florence__SC	31153	32615	64510
Georgetown__SC	15822	20487	36668
Greenville__SC	103030	150021	258155
Greenwood__SC	12145	19431	32006
Hampton__SC	5323	3906	9305
Horry__SC	59180	118821	179744
Jasper__SC	7185	7078	14394
Kershaw__SC	12699	20471	33629
Lancaster__SC	18937	30312	49868
Laurens__SC	10159	20004	30488
Lee__SC	5329	3008	8431
Lexington__SC	49301	92817	144568
Marion__SC	8872	5711	14704
Marlboro__SC	6290	5044	11446
McCormick__SC	2687	2958	5697
Newberry__SC	6958	11443	18631
Oconee__SC	10414	29698	40668
Orangeburg__SC	27295	13603	41205
Pickens__SC	13645	42907	57546
Richland__SC	132570	58313	193822
Saluda__SC	2963	6210	9274
Spartanburg__SC	52926	93560	148655
Sumter__SC	27379	21000	48920
Union__SC	4935	8183	13257
Williamsburg__SC	10289	5532	15985
York__SC	59008	82727	144050
Adams__IN	3236	10686	14209
Allen__IN	73189	92083	169082
Bartholomew__IN	12934	22410	36235
Benton__IN	1009	3007	4114
Blackford__IN	1376	3841	5351
Boone__IN	15244	22351	38520
Brown__IN	3036	5777	8981
Carroll__IN	2224	7086	9495
Cass__IN	4304	10552	15198
Clark__IN	23093	33668	57869
Clay__IN	2552	9499	12267
Clinton__IN	3361	9334	12949
Crawford__IN	1355	3483	4944
Daviess__IN	2169	9576	11954
Dearborn__IN	5446	19528	25383
Decatur__IN	2439	9575	12287
DeKalb__IN	4966	14237	19628
Delaware__IN	20474	26827	48191
Dubois__IN	6292	15033	21770
Elkhart__IN	26108	46972	74387
Fayette__IN	2237	7755	10136
Floyd__IN	17511	23400	41802
Fountain__IN	1629	6154	7986
Franklin__IN	2137	9691	12000
Fulton__IN	2280	6694	9147
Gibson__IN	4023	11817	16161
Grant__IN	8015	18543	27159
Greene__IN	3389	11103	14784
Hamilton__IN	88390	101587	193999
Hancock__IN	12895	28996	42911
Harrison__IN	5343	14565	20236
Hendricks__IN	32604	53802	88505
Henry__IN	5544	15043	21030
Howard__IN	13303	26449	40630
Huntington__IN	4255	13147	17829
Jackson__IN	4302	14555	19238
Jasper__IN	3798	11383	15475
Jay__IN	1926	6361	8461
Jefferson__IN	4731	9663	14697
Jennings__IN	2523	9490	12251
Johnson__IN	24736	51219	77618
Knox__IN	4067	11655	16011
Kosciusko__IN	8364	26499	35787
LaGrange__IN	2355	8110	10633
Lake__IN	124870	91760	219956
LaPorte__IN	22427	25997	49392
Lawrence__IN	4961	15601	21025
Madison__IN	19524	31215	51793
Marion__IN	247772	134175	389619
Marshall__IN	5712	13844	19927
Martin__IN	1011	4029	5144
Miami__IN	3235	10925	14473
Monroe__IN	39861	22071	63151
Montgomery__IN	4213	12659	17198
Morgan__IN	7781	27512	36159
Newton__IN	1509	4942	6591
Noble__IN	4660	14195	19190
Ohio__IN	668	2054	3075
Orange__IN	2224	6432	8832
Owen__IN	2420	7286	9904
Parke__IN	1503	5400	7013
Perry__IN	3203	5345	8722
Pike__IN	1415	4692	6220
Porter__IN	39746	45008	86509
Posey__IN	3811	9206	13236
Pulaski__IN	1463	4246	5806
Putnam__IN	3946	12278	16597
Randolph__IN	2513	8312	11070
Ripley__IN	2774	11261	14271
Rush__IN	1754	6035	7932
Scott__IN	2701	7331	10167
Shelby__IN	5023	14568	19991
Spencer__IN	3213	7357	10769
St__Joseph__IN	59896	53164	115138
Starke__IN	2650	7466	10290
Steuben__IN	4513	11327	16162
Sullivan__IN	2153	6691	8994
Switzerland__IN	964	3133	4154
Tippecanoe__IN	35017	34581	71448
Tipton__IN	1834	6110	8116
Union__IN	736	2688	3483
Vanderburgh__IN	34415	41844	77662
Vermillion__IN	2145	5184	7481
Vigo__IN	18123	24545	43594
Wabash__IN	3494	10762	14573
Warren__IN	974	3401	4472
Warrick__IN	11923	21326	33829
Washington__IN	2784	9114	12139
Wayne__IN	9524	17567	27679
Wells__IN	2928	10855	14050
White__IN	3032	7957	11166
Whitley__IN	4234	12862	17556
Beaverhead__MT	1608	3923	5661
Big_Horn__MT	2491	2207	4784
Blaine__MT	1589	1469	3117
Broadwater__MT	835	3173	4097
Carbon__MT	2421	4468	7052
Carter__MT	74	775	864
Cascade__MT	15456	23315	39885
Chouteau__MT	991	1891	2965
Custer__MT	1514	4205	5860
Daniels__MT	195	799	1014
Dawson__MT	962	3758	4825
Deer_Lodge__MT	2562	2186	4891
Fallon__MT	172	1375	1575
Fergus__MT	1496	4869	6507
Flathead__MT	20274	38321	59936
Gallatin__MT	37044	31696	70979
Garfield__MT	41	764	813
Glacier__MT	3610	1884	5617
Golden_Valley__MT	78	414	503
Granite__MT	638	1419	2102
Hill__MT	2981	3957	7182
Jefferson__MT	2625	5345	8151
Judith_Basin__MT	275	1040	1344
Lake__MT	6916	9322	16626
Lewis_and_Clark__MT	19743	21409	42265
Liberty__MT	249	821	1083
Lincoln__MT	2835	8672	11747
Madison__MT	1771	4191	6087
McCone__MT	155	956	1128
Meagher__MT	258	833	1110
Mineral__MT	686	1828	2563
Missoula__MT	43357	26347	71495
Musselshell__MT	413	2423	2881
Park__MT	5280	6025	11566
Petroleum__MT	39	298	348
Phillips__MT	416	1936	2382
Pondera__MT	903	2031	2995
Powder_River__MT	154	970	1136
Powell__MT	752	2355	3179
Prairie__MT	126	603	744
Ravalli__MT	8763	19114	28507
Richland__MT	875	4800	5798
Roosevelt__MT	1910	1996	4017
Rosebud__MT	1199	2486	3773
Sanders__MT	1820	5660	7622
Sheridan__MT	574	1403	2030
Silver_Bow__MT	10392	7745	18658
Stillwater__MT	1156	4462	5724
Sweet_Grass__MT	549	1840	2446
Teton__MT	1007	2608	3679
Toole__MT	467	1596	2119
Treasure__MT	78	373	460
Valley__MT	1030	3135	4261
Wheatland__MT	225	823	1068
Wibaux__MT	77	516	598
Yellowstone__MT	30679	50772	83821
Adams__MS	7917	5696	13759
Alcorn__MS	2782	12818	15793
Amite__MS	2620	4503	7196
Attala__MS	3542	5178	8823
Benton__MS	1679	2570	4289
Bolivar__MS	8904	4671	13744
Calhoun__MS	1902	4625	6590
Carroll__MS	1729	3924	5701
Chickasaw__MS	3810	4175	8141
